소방기관명,유형구분명,X좌표,Y좌표
쌍문119안전센터,안전센터/구조대,202367.981,560953.28700000001
강북소방서,소방서,203372.13415,559271.25373500003
번동119안전센터,안전센터/구조대,203369.03920699999,559276.67560399999
구조대,안전센터/구조대,203375.742707,559265.79495200003
공덕119안전센터,안전센터/구조대,196444.77984900001,550061.60010799998
종로119안전센터,안전센터/구조대,199314.856,552411.26800000004
종로소방서,소방서,198914.66478200001,553043.23812200001
세종로119안전센터,안전센터/구조대,198908.64567900001,553028.11507099995
녹번119안전센터,안전센터/구조대,194253.57539799999,555729.36896400002
119구조대,안전센터/구조대,192919.990743,558806.00204699999
봉천119안전센터,안전센터/구조대,194824.20499999999,542949.9
가락119안전센터,안전센터/구조대,209404.69997700001,543904.32770200004
염리119안전센터,안전센터/구조대,195187.58053199999,549133.37920800003
공단119안전센터,안전센터/구조대,191021.31692499999,542757.69176900003
영등포소방서,소방서,191526.84214200001,546560.60756999999
영등포119안전센터,안전센터/구조대,191529.161142,546547.26856999996
구조대,안전센터/구조대,191531.848142,546551.60057000001
강남소방서,소방서,205904.58100000001,545647.84699999995
구조대,안전센터/구조대,205898.61273600001,545643.35293399997
삼성119안전센터,안전센터/구조대,205916.57699999999,545650.85199999996
발산119안전센터,안전센터/구조대,185588.49400000001,550648.75300000003
당산119안전센터,안전센터/구조대,191092.141,548448.62199999997
서초119안전센터,안전센터/구조대,202439.13682300001,543179.17255599995
연희119안전센터,안전센터/구조대,194344.55799999999,552625.20700000005
성산119안전센터,안전센터/구조대,191440.251002,552344.46175200003
강동소방서,소방서,211043.48766899999,547760.41718700004
면목119안전센터,안전센터/구조대,207055.481,552592.48199999996
망우119안전센터,안전센터/구조대,208881.69428,555365.98482400004
거여119안전센터,안전센터/구조대,213423.65221500001,543861.49954700004
성내119안전센터,안전센터/구조대,211038.26813400001,547762.82036500005
고덕119안전센터,안전센터/구조대,213433.650253,550859.46803300001
암사119안전센터,안전센터/구조대,211367.262365,550503.15847599995
구조대,안전센터/구조대,211050.11338200001,547757.01500799996
도봉119안전센터,안전센터/구조대,203804.29842899999,563253.91623199999
중화119안전센터,안전센터/구조대,207004.399,555658.69299999997
길음119안전센터,안전센터/구조대,201690.03400000001,555917.924
장위119안전센터,안전센터/구조대,205039.52924,557542.03533800005
우이119안전센터,안전센터/구조대,201461.94131900001,560141.80109199998
미아119안전센터,안전센터/구조대,202500.72325800001,557825.97994999995
노원소방서,소방서,206278.71010600001,559835.89427799999
도봉소방서,소방서,203797.4045,562711.42238400003
상계119안전센터,안전센터/구조대,206323.823,561714.88622099999
관악소방서,소방서,195785.50151999999,541613.17988900002
영동119안전센터,안전센터/구조대,203265.81145800001,546962.39978600002
관악119안전센터,안전센터/구조대,195784.87841199999,541621.210326
시흥119안전센터,안전센터/구조대,191196.72114800001,538802.571413
방배119안전센터,안전센터/구조대,198957.09599999999,541787.00100000005
잠원119안전센터,안전센터/구조대,201028.56400000001,544400.94499999995
구조대,안전센터/구조대,195787.34536000001,541603.89000599994
난곡119안전센터,안전센터/구조대,192577.709214,541810.02130599995
신영119안전센터,안전센터/구조대,196541.31728700001,556245.85926699999
서초소방서,소방서,199288.37585400001,544328.95152
여의도119안전센터,안전센터/구조대,193636.43027000001,546419.55175999994
서빙고119안전센터,안전센터/구조대,199560.74741400001,546816.07316300005
반포119안전센터,안전센터/구조대,199278.084714,544329.03799999994
구조대,안전센터/구조대,199298.79123599999,544328.23976599996
구로소방서,소방서,188078.71896,544268.360247
수궁119안전센터,안전센터/구조대,184928.50111799999,544104.90571099997
고일119안전센터,안전센터/구조대,188088.24025800001,544276.08335800003
고척119안전센터,안전센터/구조대,187170.299497,545059.57293599995
신도림119안전센터,안전센터/구조대,189498.03321699999,545329.64159500005
대림119안전센터,안전센터/구조대,191515.08463500001,544212.25612999999
구로119안전센터,안전센터/구조대,189614.79324699999,543865.66491100006
구조대,안전센터/구조대,188070.36040199999,544260.24509999994
진관119안전센터,안전센터/구조대,192920.226024,558822.39615299995
목동119안전센터,안전센터/구조대,189711.09719500001,549259.30622100004
신정119안전센터,안전센터/구조대,186823.715234,546934.94919399999
우면119안전센터,안전센터/구조대,202109.104433,542354.506176
양재119안전센터,안전센터/구조대,203613.47601300001,541114.32362399995
역삼119안전센터,안전센터/구조대,203753.15646999999,544189.667732
개포119안전센터,안전센터/구조대,204412.66247000001,541694.95687500003
수서119안전센터,안전센터/구조대,208212.23158699999,542833.34386499994
잠실119안전센터,안전센터/구조대,208302.37400000001,545320.12899999996
마포소방서,소방서,194095.41467,549987.08053299994
신수119안전센터,안전센터/구조대,194096.039456,549994.81123600004
홍은119안전센터,안전센터/구조대,195326.174,555461.45600000001
구조대,안전센터/구조대,194095.11877999999,549980.75235700002
서교119안전센터,안전센터/구조대,192535.00667599999,550091.36853199999
역촌119안전센터,안전센터/구조대,192111.068864,556161.09698100004
북가좌119안전센터,안전센터/구조대,192315.27903500001,553702.71318199998
수색119안전센터,안전센터/구조대,190277.69736699999,553969.30815900001
신교119안전센터,안전센터/구조대,197355.38581099999,553858.94322100002
이태원119안전센터,안전센터/구조대,199630.19,548320.59900000005
구조대,안전센터/구조대,198902.31564799999,553038.39812200004
북아현119안전센터,안전센터/구조대,196090.627492,551239.35096499999
회현119안전센터,안전센터/구조대,198527.94626699999,550963.42401900003
충무로119안전센터,안전센터/구조대,199377.795682,551402.01006799995
후암119안전센터,안전센터/구조대,198043.85383199999,549932.898804
여의도수난구조대,안전센터/구조대,192982.685318,548340.96863300004
방화119안전센터,안전센터/구조대,183596.69866699999,553377.37350800005
화곡119안전센터,안전센터/구조대,186322.63378999999,549360.27491899999
양천119안전센터,안전센터/구조대,188693.987219,547861.54736199998
강서소방서,소방서,187654.57459999999,550953.98078600003
등촌119안전센터,안전센터/구조대,187651.133145,550956.01180900005
구조대,안전센터/구조대,187658.90184999999,550951.76537100004
구조대,안전센터/구조대,188725.07649000001,547857.62089300004
소방항공대,안전센터/구조대,181216.795568,550582.33341700002
신월119안전센터,안전센터/구조대,185250.49767300001,547617.07083800004
상도119안전센터,안전센터/구조대,193765.92973100001,544396.44096200005
신길119안전센터,안전센터/구조대,193119.81728399999,545662.28919299995
신림119안전센터,안전센터/구조대,193277.79639599999,543359.94859199994
노량진119안전센터,안전센터/구조대,195310.03899999999,546021.91399999999
백운119안전센터,안전센터/구조대,196604.19399999999,543927.68000000005
연건119안전센터,안전센터/구조대,200165.572204,553318.26737200003
은평소방서,소방서,192919.60820799999,558814.95715799998
월계119안전센터,안전센터/구조대,204979.68328299999,558801.24866399996
하계119안전센터,안전센터/구조대,206275.37019399999,559844.46671800001
방학119안전센터,안전센터/구조대,203796.21838199999,562701.15355000005
구조대,안전센터/구조대,203798.82620000001,562723.21431900002
구조대,안전센터/구조대,206281.60369600001,559826.65682799998
119특수구조대,안전센터/구조대,192449.03919000001,559344.82490300003
창동119안전센터,안전센터/구조대,203860.745,560793.12
송파소방서,소방서,212608.79754100001,544491.36508100003
방이119안전센터,안전센터/구조대,212076.601,546709.14899999998
마천119안전센터,안전센터/구조대,212603.372133,544480.37863199995
구조대,안전센터/구조대,212614.45919200001,544505.43192200002
중랑소방서,소방서,208374.710284,557311.39739199996
신내119안전센터,안전센터/구조대,208386.844717,557306.93386500003
구조대,안전센터/구조대,208363.812014,557316.991744
길동119안전센터,안전센터/구조대,212759.62021699999,549059.38613
용두119안전센터,안전센터/구조대,202803.9241,553146.12241900002
숭인119안전센터,안전센터/구조대,201923.62543399999,553134.91275400005
동대문소방서,소방서,205889.340299,551610.21589300002
장안119안전센터,안전센터/구조대,205894.612127,551617.00584799994
전농119안전센터,안전센터/구조대,204062.57161099999,552975.77461099997
돈암119안전센터,안전센터/구조대,201275.52940999999,554600.66488699999
구조대,안전센터/구조대,205884.30956200001,551602.75496399996
중부소방서,소방서,201360.35437399999,551703.85770699999
무학119안전센터,안전센터/구조대,201359.58272400001,551696.22457800002
구조대,안전센터/구조대,201360.60625099999,551712.16965499998
을지로119안전센터,안전센터/구조대,201067.70980800001,551909.11516699998
신당119안전센터,안전센터/구조대,200851.615888,550378.67978000001
천호119안전센터,안전센터/구조대,211611.030868,548796.75460500002
수락119안전센터,안전센터/구조대,204916.95287499999,564450.21253500006
공릉119안전센터,안전센터/구조대,207126.864141,557723.27158599999
종암119안전센터,안전센터/구조대,202791.96440999999,555883.19956600002
구조대,안전센터/구조대,202816.893698,555864.51538500004
성북소방서,소방서,202804.14903599999,555873.75998800003
청량리119안전센터,안전센터/구조대,204625.88956800001,554177.41885100002
삼각산119안전센터,안전센터/구조대,201365.26879500001,557807.80016999994
개화119안전센터,안전센터/구조대,182606.22971799999,552851.94829199999
119구조대,안전센터/구조대,194220.38455300001,552477.26472099999
서대문소방서,소방서,194337.769825,552637.43659000006
용산소방서,소방서,197483.52718,548286.90582400002
한강로119안전센터,안전센터/구조대,197475.76005400001,548278.77321699995
구조대,안전센터/구조대,197492.98237499999,548295.29312199994
동작소방서,소방서,192720.098964,543910.66210299998
동작119안전센터,안전센터/구조대,192707.36643600001,543910.39901000005
구조대,안전센터/구조대,192731.61975899999,543910.74737400003
종합운동장119안전센터,안전센터/구조대,206275.599323,546084.18538000004
휘경119안전센터,안전센터/구조대,205752.840089,554569.37835100002
신트리119안전센터,안전센터/구조대,186559.88464199999,545696.92460999999
상암119안전센터,안전센터/구조대,189510.674,553380.00600000005
이촌119안전센터,안전센터/구조대,195879.738232,547839.35314499994
양천소방서,소방서,188708.93588199999,547859.28857400001
북한산산악구조대,안전센터/구조대,194994.66571900001,560097.88896300003
반포수난구조대,안전센터/구조대,198175.28241499999,545201.81074500002
도봉산산악구조대,안전센터/구조대,203074.04665599999,565427.99141999998
관악산산악구조대,안전센터/구조대,195129.5919,539763.99600200006
성수119안전센터,안전센터/구조대,205362.468104,548633.01066100004
중곡119안전센터,안전센터/구조대,207654.218093,551938.09056799999
왕십리119안전센터,안전센터/구조대,203136.05691700001,551389.954027
금호119안전센터,안전센터/구조대,202151.581836,550503.68750700005
구조대,안전센터/구조대,203498.41030300001,550472.82106999995
행당119안전센터,안전센터/구조대,203478.783062,550454.88151199999
성동소방서,소방서,203491.17069699999,550460.99592999998
능동119안전센터,안전센터/구조대,206799.95719399999,550240.66881599999
뚝섬수난구조대,안전센터/구조대,205355.39075399999,547981.18054199999
광진소방서,소방서,207312.919673,549483.16212200001
구조대,안전센터/구조대,207318.936583,549481.43352800002
구의119안전센터,안전센터/구조대,207305.85008999999,549485.438586
세곡119안전센터,안전센터/구조대,209487.114956,541229.37768100004
본부현장대응단,안전센터/구조대,199041.962913,551037.28760899999
마곡119안전센터,안전센터/구조대,184158.529106,550727.28555100004
강일119안전센터,안전센터/구조대,215876.12877899999,550883.69423799997
광나루수난구조대,안전센터/구조대,210400.25,549496.69999999995
송정119안전센터,안전센터/구조대,205144.86014199999,549948.62700700003
금천소방서,소방서,190965.299864,540514.70385799999
금천119안전센터,안전센터/구조대,190966.93079300001,540529.997462
구조대,안전센터/구조대,190968.79881800001,540549.30038799997
