소방서명,X좌표,Y좌표
강북소방서,203372.13415,559271.253735
종로소방서,198914.664782,553043.238122
영등포소방서,191526.842142,546560.60757
강남소방서,205904.581,545647.847
강동소방서,211043.487669,547760.417187
노원소방서,206278.710106,559835.894278
도봉소방서,203797.4045,562711.422384
관악소방서,195785.50152,541613.179889
서초소방서,199288.375854,544328.95152
구로소방서,188078.71896,544268.360247
마포소방서,194095.41467,549987.080533
강서소방서,187654.5746,550953.980786
은평소방서,192919.608208,558814.957158
송파소방서,212608.797541,544491.365081
중랑소방서,208374.710284,557311.397392
동대문소방서,205889.340299,551610.215893
중부소방서,201360.354374,551703.857707
성북소방서,202804.149036,555873.759988
서대문소방서,194337.769825,552637.43659
용산소방서,197483.52718,548286.905824
동작소방서,192720.098964,543910.662103
양천소방서,188708.935882,547859.288574
성동소방서,203491.170697,550460.99593
광진소방서,207312.919673,549483.162122
금천소방서,190965.299864,540514.703858
